PROVINCIA,CANTON,Suma de Total Compras,Suma de Total Ventas,Suma de Ventas Netas 0%,Suma de Ventas Netas 12%,Suma de Habitantes,Suma de Importaciones,Suma de Exportaciones,Suma de Compras Rise,Suma de Compras netas 12%,Suma de Compras netas 0%
AZUAY,CAMILO PONCE ENRIQUEZ,227028324.88999987,272675996.34000003,122463626.70999998,78696917.28,36423,1273438.6800000002,71515452.35,3639439.4499999997,131064499.65999997,91050947.1
AZUAY,CHORDELEG,27976568.969999988,27056961.050000004,10157424.409999996,16899536.639999993,15176,376174.95999999996,0,194182.85000000003,21626016.71999999,5780194.439999998
AZUAY,CUENCA,12494104827.589998,16575415023.650002,6318707945.059999,9984380680.960001,636996,2455250508.77,272323240.09999996,90095092.33000001,7468939442.129997,2467039807.200001
AZUAY,EL PAN,3592401.6099999994,2460411.8,613963.3199999997,1846448.48,3091,305.84,0,5341.64,3050850.92,535903.2100000001
AZUAY,GIRON,25942670.82,29260474.829999987,17489618.909999996,11770855.910000002,13037,333854.87,0.01,201546.59999999998,18454131.110000007,6953138.239999998
AZUAY,GUACHAPALA,3638123.5099999993,3016215.8099999996,1637213.44,1369888.1499999997,3859,3514.5299999999997,9114.22,17864.949999999997,2692888.75,924149.9400000002
AZUAY,GUALACEO,175700059.85999995,186747581.64,71186791.75000001,88721620.51999998,49104,6501727.0600000005,26839169.37,1063691.3599999999,108599648.36999993,59534993.07000001
AZUAY,NABON,23844120.080000013,19418408.679999992,6979866.469999999,12437837.21,17292,19595.569999999996,705,438147.01000000007,19142921.179999996,4243456.32
AZUAY,OÑA,8001041.420000002,6880827.4,2818725.05,4062102.3500000015,4128,5220.7,0,29931.920000000002,6077543.550000001,1888345.2499999995
AZUAY,PAUTE,165964318.05,137493161.86999995,63095787.589999996,72294506.75999999,29214,1844026.12,2102867.5199999996,823731.1799999999,100038389.66000001,63258171.09000001
AZUAY,PUCARA,11767678.36,10550384.91,5928369.709999999,4622015.200000001,10584,6509.93,0,1048342.2800000003,7821492.6,2891333.55
AZUAY,SAN FERNANDO,7025854.609999998,5185836.320000001,2478907.25,2706884.0700000003,4156,107.49000000000001,45,80934.24,5046902.959999999,1897909.9199999997
AZUAY,SANTA ISABEL,89209203.03,93061536.32,34722274.31999999,58333311.999999985,20935,757174.5499999998,5950,563933.5299999999,67856492.22999999,20031602.720000006
AZUAY,SEVILLA DE ORO,12516868.850000001,13415069.010000005,4441508.929999999,8966408.080000002,6890,393.19000000000005,7152,1524600.1800000002,7664572.450000003,3327303.03
AZUAY,SIGSIG,40250133.22000001,32560787.65,15469276.389999995,16768462.39,30509,478150.57,323048.87000000005,587306.59,28292803.829999987,10891872.23
BOLIVAR,CALUMA,59886020.78999999,66345141.81,33559267.02,32709118.780000016,16429,49878.24,76756.01,1146418.9500000002,38762093.51,19891162.089999996
BOLIVAR,CHILLANES,34506801.60999999,32470753.279999994,24426086.299999993,8044666.979999998,16850,10952.079999999998,0,64244.759999999995,12780724.130000008,21650880.639999986
BOLIVAR,CHIMBO,37481115.43000002,79054891.72999999,61638877.900000006,17414647.13,17378,263211.5,1366.7,49228.58,26916011.939999998,10252663.410000004
BOLIVAR,ECHEANDIA,42148018.399999976,39730772.33000002,19312267.679999992,20415897.86999999,14081,16568.42,2606.78,109007.6,24757347.07,17265095.310000002
BOLIVAR,GUARANDA,336734673.26000005,342348634.4900001,161237181.31999987,116099620.02000004,108763,940520.6800000002,65011833.150000006,9492142.319999998,170844395.76000005,155450122.7
BOLIVAR,LAS NAVES,33280415.550000012,25950343.020000003,16757952.319999993,9144409.029999997,7428,613228.74,47981.67,1303128.27,20850173.770000003,10513884.77
BOLIVAR,SAN MIGUEL,48430204.79000002,55446128.57999999,27633248.950000003,27810263.029999994,29004,39035.090000000004,3266.6,264802.06,34545532.82000001,13580834.82
CAÑAR,AZOGUES,508265470.2899999,570599428.7300003,245712046.23999998,322733697.6400001,86276,28149537.39,2387140.5300000003,6666485.9799999995,338410989.59000003,135038515.36999995
CAÑAR,BIBLIAN,91796588.60999998,157956292.38000003,128078566.59000005,29711926.290000007,23741,1610991.0000000005,165799.5,11695677.580000004,42855572.09000002,35634347.94
CAÑAR,CAÑAR,190629611.51000008,206440929.78000006,129362007.41000003,77048716.68,68747,1457098.8600000003,30205.690000000002,9138298.399999999,107163842.08000007,72870372.16999996
CAÑAR,DELEG,10485209.82,10120626.989999996,5434292.049999998,4018691.7200000025,6782,2257.62,667643.22,572511.6599999999,7218124.250000003,2692316.289999999
CAÑAR,EL TAMBO,59815605.16,63820350.22000001,45229797.71000001,18565738.620000005,12462,382777.0800000001,24813.889999999992,2255674.2,29132536.180000007,28044617.699999996
CAÑAR,LA TRONCAL,449944066.0899999,583638412.8400002,388390694.5599997,185034152.07000002,76872,7997488.159999998,10218839.61,5055322.1899999995,239078877.54000002,196665198.8100001
CAÑAR,SUSCAL,18292909.299999997,14637413.57,7606817.789999999,7030595.78,6516,10771.67,0,20815.23,11668497.599999998,6592824.799999999
